"Code 
Gestionnaire",Nom Société
GSC001,LES AUTOCARS DE MARNE LA VALLÉE
GSC002,N'4 MOBILITES
GSC003,VAL D'EUROPE AIRPORTS
GSC004,TRANSDEV URBAIN GRAND VILLENEUVOIS
GSC006,INTERVAL
GSC007,TRANSPORTS MARNE ET MORIN
GSC008,SPC MOBILITES
GSC010,TRANSDEV DU MARSAN
GSC011,S.E.R.I. 49
GSC012,SOCIETE DES TRANSPORTS LIBOURNAIS
GSC014,CITRAM PYRENEES
GSC015,ETABLISSEMENTS MONEGER ET COMPAGNIE
GSC016,COMPAGNIE ARMORICAINE DE TRANSPORTS
GSC017,COMPAGNIE ARMORICAINE DE TRANSPORTS
GSC018,COMPAGNIE ARMORICAINE DE TRANSPORTS
GSC019,COMPAGNIE ARMORICAINE DE TRANSPORTS
GSC022,CFTA CENTRE OUEST
GSC023,TRANSDEV BRIVE
GSC024,TRANSDEV FOUGERES
GSC025,STAO PL
GSC026,STAO PL
GSC027,STAO PL
GSC028,STAO PL
GSC029,STAO PL
GSC031,PREVOST
GSC032,C.F.T.I.
GSC033,TRANSPORTS EN COMMUN DE COMBS LA VILLE
GSC034,TRANSDEV ILE DE FRANCE
GSC035,TRANSDEV ILE DE FRANCE
GSC036,TRANSDEV ILE DE FRANCE
GSC037,TRANSDEV ILE DE FRANCE
GSC038,TRANSDEV ILE DE FRANCE
GSC039,TRANSDEV  URBAIN
GSC040,TRANSDEV EXPRESS SUD OUEST
GSC041,SANTE MOBILITE SERVICES
GSC042,TPMR STRASBOURG
GSC043,TRANSDEV SAINT DIZIER
GSC044,BUS EST
GSC047,TRANSDEV LOIRET
GSC048,TRANSDEV SHUTTLE FRANCE
GSC049,STE DES TRANSPORTS DU BASSIN CHELLOIS
GSC050,SOCIETE NOUVELLE CPL
GSC051,TRANS VAL D'OISE
GSC052,TRANS VAL DE FRANCE
GSC053,TRANSDEV IDF CSP CONTROLE
GSC054,TRANSPORTS RAPIDES AUTOMOBILES
GSC055,ODULYS
GSC056,CEA TRANSPORTS
GSC057,CARS D'ORSAY
GSC058,TRANSDEV  URBAIN
GSC059,TRANSDEV ROCHEFORT OCEAN
GSC060,TPMR TOURS
GSC061,TRANSDEV TOURAINE
GSC062,BIEVRE BUS MOBILITES
GSC063,TRANSDEV NORMANDIE VAL DE SEINE
GSC064,TRANSDEV  URBAIN
GSC066,CITYWAY
GSC067,CITYWAY
GSC068,CITYWAY
GSC069,SITE OISE
GSC070,ATRIOM DU BEAUVAISIS
GSC071,ATRIOM DU COMPIEGNOIS
GSC073,TRANSDEV ARTESIENS
GSC074,TRANSDEV MOBILITES DU SAINT QUENTINOIS
GSC075,TRANSPORTS DU VAL D'OISE
GSC076,LES CARS ROSE
GSC077,TRANSDEV ILE DE FRANCE
GSC078,AUTOCARS TOURNEUX
GSC079,TRANSDEV ILE DE FRANCE
GSC080,TRANSDEV ILE DE FRANCE
GSC081,TRANSDEV ILE DE FRANCE
GSC082,PROXIWAY
GSC083,TRANSDEV ILE DE FRANCE
GSC084,TRANSDEV ILE DE FRANCE
GSC085,LES COURRIERS DE SEINE ET OISE
GSC086,TRANSDEV ILE DE FRANCE
GSC087,STE TRANSPORTS AUTOMOBILES ET DE VOYAGES
GSC088,TRANSDEV ILE DE FRANCE
GSC089,STE EXPLOIT TRANSPORTS ET REPARA AUTO
GSC092,TRANSDEV COMPAGNIE AXONAISE
GSC095,MECA PISTE
GSC096,LES COURRIERS DE L'AUBE
GSC097,TRANSDEV GRAND EST
GSC098,TRANSDEV GRAND EST
GSC099,TRANSDEV GRAND EST
GSC101,STE TRANSPORTS AGGLOMERATION THONON
GSC102,TRANSDEV ANNONAY
GSC103,MOBILITE ET SERVICES
GSC104,TRANSDEV BASSIN ARCACHON
GSC105,TRANSDEV ICM
GSC106,TRANSDEV EXPRESS RHONE ALPES AUVERGNE
GSC107,TRANSDEV EXPRESS GRAND OUEST
GSC108,TRANSDEV GRAND EST
GSC109,TRANSDEV SENONAIS
GSC110,AUTOCARS DARCHE-GROS ET COMPAGNIE
GSC111,EUROPE AUTOCARS
GSC112,TRANSDEV  LYS
GSC113,TRANSDEV NORMANDIE MANCHE
GSC114,TRANSDEV NORMANDIE PAYS DE CAUX
GSC115,TRANSDEV  URBAIN
GSC116,TRANSDEV URBAIN DIEPPE
GSC117,TRANSDEV PICARDIE
GSC118,TRANSDEV OISE CABARO
GSC119,TRANSDEV BEAUVAISIS MOBILITE
GSC120,TRANSDEV NORD
GSC122,TRANSDEV OUEST PROVENCE
GSC123,TRANSDEV RHONE ALPES
GSC124,TRANSDEV RHONE ALPES
GSC126,TRANSDEV ROANNE
GSC127,TD DAUPHINE
GSC128,TRANSDEV BRIANCON
GSC129,TRANSDEV PARK SERVICES
GSC132,TRANSDEV RHONE ALPES
GSC133,TRANSDEV EXPRESS RHONE ALPES AUVERGNE
GSC134,CONTROLE STATIONNEMENT EN VOIRIE
GSC135,TRANSDEV CMT
GSC168,TRANSDEV LA ROCHELLE
GSC169,TRANSDEV SAINT DIE
GSC170,TRANSDEV CONTROLE ET SURETE IDF
GSC171,TRANSDEV POITOU CHARENTES
GSC172,TRANSDEV POITOU CHARENTES
GSC173,TRANSDEV POITOU CHARENTES
GSC175,TRANSDEV ROYAN ATLANTIQUE
GSC176,TRANSPORTS DE TOURISME DE L'OCEAN
GSC178,TRANSDEV BFC NORD
GSC179,TRANSDEV BFC SUD
GSC180,TRANSDEV AUXERROIS
GSC181,TRANSDEV STAC
GSC182,TRANSDEV BFC EST
GSC183,TRANSDEV MACONNAIS BEAUJOLAIS
GSC185,TRANSDEV LOIR ET CHER
GSC186,TRANSDEV ARTOIS GOHELLE
GSC187,TRANSDEV LE HAVRE
GSC192,TRANSDEV OCCITANIE LITTORAL
GSC194,TRANSDEV NORMANDIE INTERURBAIN
GSC195,TRANSDEV LITTORAL NORD
GSC197,SOC TRANSPORTS CALAIS ET EXTENSIONS
GSC198,TRANSDEV COTE D'AZUR
GSC199,AUTOCARS MUSSO
GSC200,ETABLISSEMENTS BREMOND FRERES
GSC202,TRANSDEV ALPES MARITIMES
GSC205,TRANSDEV BOUCHES-DU-RHONE
GSC206,TRANSDEV MEDITERRANEE
GSC207,TRANSDEV ARLES
GSC208,AUTOBUS DE L'ETANG
GSC209,TRANSDEV VITROLLES
GSC210,SOCIETE DES AUTOCARS SABARDU
GSC211,TRANSDEV ISTRES
GSC212,TRANS PISTES
GSC214,SOCIETE VAROISE DE TRANSPORTS
GSC215,C.F.T.I.
GSC216,TRANSDEV  URBAIN
GSC219,TRANSDEV AUVERGNE
GSC224,TRANSDEV RHONE ALPES
GSC225,TRANSDEV RHONE ALPES
GSC227,EAP
GSC228,TRANSAMO
GSC229,TRANSDEV
GSC230,TRANSDEV AEROPORT SERVICES
GSC231,TRANSDEV BUSINESS INFORMATION SOLUTIONS
GSC233,TRANSDEV GROUP
GSC234,TPMR TOULOUSE
GSC236,TRANSDEV GROUP
GSC238,TRANSDEV EST
GSC239,TRANSDEV DROME
GSC240,TRANSDEV VICHY
GSC242,TRANSDEV EXPRESS SUD OUEST
GSC243,TRANS.CITE
GSC244,TRANSDEV ALBERTVILLE
GSC478,AEROPASS
GSC479,AEROPISTE GROUPE TRANSDEV
GSC480,TRANSDEV OCCITANIE OUEST
GSC481,CARBU WASH GROUPE TRANSDEV
GSC482,TRANSDEV CAP
GSC483,TRANSDEV BASSIN ANNECIEN
GSC484,INTERPISTES GROUPE TRANSDEV
GSC485,MOBILINK
GSC486,TRANSDEV MONT SAINT MICHEL
GSC487,TRANSDEV MONT BLANC BUS
GSC488,MOUV'IDEES
GSC491,TRANSDEV NIMES MOBILITE
GSC492,SCTE DES TRANSPORTS DE DUNKERQUE ET EXT
GSC493,TRANSDEV OCCITANIE PAYS NIMOIS
GSC495,TRANSDEV VAUCLUSE
GSC498,TRANSDEV SAVOIE
GSC501,TRANSDEV AEROPORT TRANSIT
GSC502,TRANSDEV NIORT AGGLOMERATION
GSC504,TRANSDEV VALENCE MOBILITE
GSC505,TRANSPORTS COMMUNS AGGLOMERATION ROUEN
GSC506,TRANSDEV EURE ET LOIR
GSC507,TRANSDEV SUD OUEST
GSC508,VAD
GSC509,VISUAL
GSC510,FLYBUS
GSC511,TRANSDEV CARGO
GSC512,TRANSDEV MARTIN
GSC513,TRANSDEV MANOSQUE
GSC514,TRANSDEV DURANCE
GSC515,CAUX SEINE MOBILITE
GSC516,TRANSDEV URBAIN LIBOURNAIS
GSC521,TRANSDEV GUINGAMP-PAIMPOL AGGLOMERATION
GSC522,TRANSPORT DU GRAND AVIGNON
GSC523,TRANSDEV HAUTE SAVOIE
GSC524,TRANSDEV VAR
GSC525,TRANSDEV EXPRESS SUD OUEST
GSC528,TRANSDEV VERDUN
GSC541,TRANSDEV SENART
GSC542,TRANSDEV MARNE-LA-VALLEE
GSC543,EURE ET LOIR MOBILITE
GSC544,TRANSDEV BRETAGNE
GSC547,TRANSDEV COTENTIN
GSC548,TRANSDEV ALPILLES BERRE MEDITERRANNEE
GSC549,TRANSDEV PARK VOIRIE
GSC550,TRANSDEV MELUN VAL DE SEINE
GSC551,TRANSDEV VALMY
GSC552,TRANSDEV VEXIN
GSC553,TRANSDEV TRANSPORTS DEODATIENS
GSC555,TRANSDEV LOIRET MOBILITE
GSC556,TRANSDEV RESEAU INTERURBAIN DE L'OISE 1
GSC557,TRANSDEV RESEAU INTERURBAIN DE L'OISE  3
GSC558,SOCIETE DE PRESTATIONS TRANSDEV IDF
GSS001,LES AUTOCARS DE MARNE LA VALLÉE
GSS002,N'4 MOBILITES
GSS003,VAL D'EUROPE AIRPORTS
GSS004,TRANSDEV URBAIN GRAND VILLENEUVOIS
GSS006,INTERVAL
GSS007,TRANSPORTS MARNE ET MORIN
GSS008,SPC MOBILITES
GSS010,TRANSDEV DU MARSAN
GSS011,S.E.R.I. 49
GSS012,SOCIETE DES TRANSPORTS LIBOURNAIS
GSS014,CITRAM PYRENEES
GSS015,ETABLISSEMENTS MONEGER ET COMPAGNIE
GSS016,COMPAGNIE ARMORICAINE DE TRANSPORTS
GSS017,COMPAGNIE ARMORICAINE DE TRANSPORTS
GSS018,COMPAGNIE ARMORICAINE DE TRANSPORTS
GSS019,COMPAGNIE ARMORICAINE DE TRANSPORTS
GSS022,CFTA CENTRE OUEST
GSS023,TRANSDEV BRIVE
GSS024,TRANSDEV FOUGERES
GSS025,STAO PL
GSS026,STAO PL
GSS027,STAO PL
GSS028,STAO PL
GSS029,STAO PL
GSS031,PREVOST
GSS032,C.F.T.I.
GSS033,TRANSPORTS EN COMMUN DE COMBS LA VILLE
GSS034,TRANSDEV ILE DE FRANCE
GSS035,TRANSDEV ILE DE FRANCE
GSS036,TRANSDEV ILE DE FRANCE
GSS037,TRANSDEV ILE DE FRANCE
GSS038,TRANSDEV ILE DE FRANCE
GSS039,TRANSDEV  URBAIN
GSS040,TRANSDEV EXPRESS SUD OUEST
GSS041,SANTE MOBILITE SERVICES
GSS042,TPMR STRASBOURG
GSS043,TRANSDEV SAINT DIZIER
GSS044,BUS EST
GSS047,TRANSDEV LOIRET
GSS048,TRANSDEV SHUTTLE FRANCE
GSS049,STE DES TRANSPORTS DU BASSIN CHELLOIS
GSS050,SOCIETE NOUVELLE CPL
GSS051,TRANS VAL D'OISE
GSS052,TRANS VAL DE FRANCE
GSS053,TRANSDEV IDF CSP CONTROLE
GSS054,TRANSPORTS RAPIDES AUTOMOBILES
GSS055,ODULYS
GSS056,CEA TRANSPORTS
GSS057,CARS D'ORSAY
GSS058,TRANSDEV  URBAIN
GSS059,TRANSDEV ROCHEFORT OCEAN
GSS060,TPMR TOURS
GSS061,TRANSDEV TOURAINE
GSS062,BIEVRE BUS MOBILITES
GSS063,TRANSDEV NORMANDIE VAL DE SEINE
GSS064,TRANSDEV  URBAIN
GSS066,CITYWAY
GSS067,CITYWAY
GSS068,CITYWAY
GSS069,SITE OISE
GSS070,ATRIOM DU BEAUVAISIS
GSS071,ATRIOM DU COMPIEGNOIS
GSS073,TRANSDEV ARTESIENS
GSS074,TRANSDEV MOBILITES DU SAINT QUENTINOIS
GSS075,TRANSPORTS DU VAL D'OISE
GSS076,LES CARS ROSE
GSS077,TRANSDEV ILE DE FRANCE
GSS078,AUTOCARS TOURNEUX
GSS079,TRANSDEV ILE DE FRANCE
GSS080,TRANSDEV ILE DE FRANCE
GSS081,TRANSDEV ILE DE FRANCE
GSS082,PROXIWAY
GSS083,TRANSDEV ILE DE FRANCE
GSS084,TRANSDEV ILE DE FRANCE
GSS085,LES COURRIERS DE SEINE ET OISE
GSS086,TRANSDEV ILE DE FRANCE
GSS087,STE TRANSPORTS AUTOMOBILES ET DE VOYAGES
GSS088,TRANSDEV ILE DE FRANCE
GSS089,STE EXPLOIT TRANSPORTS ET REPARA AUTO
GSS092,TRANSDEV COMPAGNIE AXONAISE
GSS095,MECA PISTE
GSS096,LES COURRIERS DE L'AUBE
GSS097,TRANSDEV GRAND EST
GSS098,TRANSDEV GRAND EST
GSS099,TRANSDEV GRAND EST
GSS101,STE TRANSPORTS AGGLOMERATION THONON
GSS102,TRANSDEV ANNONAY
GSS103,MOBILITE ET SERVICES
GSS104,TRANSDEV BASSIN ARCACHON
GSS105,TRANSDEV ICM
GSS106,TRANSDEV EXPRESS RHONE ALPES AUVERGNE
GSS107,TRANSDEV EXPRESS GRAND OUEST
GSS108,TRANSDEV GRAND EST
GSS109,TRANSDEV SENONAIS
GSS110,AUTOCARS DARCHE-GROS ET COMPAGNIE
GSS111,EUROPE AUTOCARS
GSS112,TRANSDEV  LYS
